epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1814.45,0.66641,0.95233,1,0.14984,0.00333166,0.00333166,0.00333166
2,3587.31,0.1338,0.98956,1,0.03759,0.00653303,0.00653303,0.00653303
3,5288.75,0.05963,0.99831,1,0.01099,0.00960239,0.00960239,0.00960239
4,7015.44,0.03716,0.99774,1,0.00748,0.009406,0.009406,0.009406
5,8755.73,0.02042,0.99972,1,0.00205,0.009208,0.009208,0.009208
6,10477.3,0.01703,0.99972,1,0.0011,0.00901,0.00901,0.00901
7,12215.5,0.01565,1,1,0.00031,0.008812,0.008812,0.008812
8,13953.1,0.01008,0.99944,1,0.00128,0.008614,0.008614,0.008614
9,15663.2,0.01189,1,1,0.00031,0.008416,0.008416,0.008416
10,17408.8,0.00881,1,1,0.00033,0.008218,0.008218,0.008218
11,19126.5,0.00841,1,1,6e-05,0.00802,0.00802,0.00802
12,20844.3,0.00716,1,1,0.00029,0.007822,0.007822,0.007822
13,22568.3,0.00791,1,1,0.00019,0.007624,0.007624,0.007624
14,24296.3,0.00901,1,1,0.00019,0.007426,0.007426,0.007426
15,26049.1,0.00687,1,1,3e-05,0.007228,0.007228,0.007228
16,27789.5,0.00808,1,1,8e-05,0.00703,0.00703,0.00703
17,29545.7,0.00695,1,1,1e-05,0.006832,0.006832,0.006832
18,31277.2,0.00638,1,1,5e-05,0.006634,0.006634,0.006634
19,33003.3,0.00681,1,1,0.0001,0.006436,0.006436,0.006436
20,34726.3,0.00474,1,1,1e-05,0.006238,0.006238,0.006238
21,36459.3,0.00483,1,1,1e-05,0.00604,0.00604,0.00604
22,38182.6,0.00793,1,1,1e-05,0.005842,0.005842,0.005842
23,39911.3,0.00359,1,1,1e-05,0.005644,0.005644,0.005644
24,41633.9,0.00313,1,1,0,0.005446,0.005446,0.005446
25,43362.6,0.00317,1,1,0,0.005248,0.005248,0.005248
26,45081.6,0.00389,1,1,0,0.00505,0.00505,0.00505
27,46807.4,0.0049,1,1,0,0.004852,0.004852,0.004852
28,48530.2,0.00299,1,1,0,0.004654,0.004654,0.004654
29,50259.6,0.00246,1,1,0,0.004456,0.004456,0.004456
30,51986.7,0.00419,1,1,0,0.004258,0.004258,0.004258
31,53718.9,0.00294,1,1,0,0.00406,0.00406,0.00406
32,55445.4,0.00328,1,1,0,0.003862,0.003862,0.003862
33,57172.3,0.00285,1,1,0,0.003664,0.003664,0.003664
34,58889.9,0.00203,1,1,0,0.003466,0.003466,0.003466
35,60681.7,0.00197,1,1,0,0.003268,0.003268,0.003268
36,62407.6,0.00227,1,1,0,0.00307,0.00307,0.00307
37,64139.4,0.00196,1,1,0,0.002872,0.002872,0.002872
38,65898.9,0.00116,1,1,0,0.002674,0.002674,0.002674
39,67682.5,0.00102,1,1,0,0.002476,0.002476,0.002476
40,69417,0.00073,1,1,0,0.002278,0.002278,0.002278
